company,level,image,img-width,link
Altium,0,./static/sponsors/altium.png,100,https://www.altium.com/
Boeing,3,./static/sponsors/boeing.png,100,https://www.boeing.com/
Broadway Technology,2,./static/sponsors/broadway-technology.png,160,http://www.broadwaytechnology.com/
Google,3,./static/sponsors/google.png,100,http://www.google.com/
Intel,3,./static/sponsors/intel.png,130,https://www.intel.com/
Lockheed Martin,3,./static/sponsors/lockheed-martin.png,160,https://www.lockheedmartin.com/en-us/index.html
MathWorks,0,./static/sponsors/mathworks.png,200,https://www.mathworks.com/
P&G,4,./static/sponsors/p-g.png,120,https://us.pg.com/
Sequoia Capital,2,./static/sponsors/sequoia.png,140,https://www.sequoiacap.com/
SKB,3,./static/sponsors/skb.png,160,https://www.skbcases.com/
Travis CI,2,./static/sponsors/travis-ci.png,140,https://travis-ci.org/
Teemweek,3,./static/sponsors/teamweek.png,160,https://teamweek.com/
SRI International,3,./static/sponsors/sri.png,140,https://www.sri.com/
SolidWorks,1,./static/sponsors/solidworks.png,190,https://www.solidworks.com/
Phillips66,2,./static/sponsors/phillips66.png,120,https://www.phillips66.com/
