start,end,line1,line2,line3,location
08/31/2018 12:00:00PM,10/1/2018 12:00:00AM,applications,are open,,online
09/06/2018  5:00:00PM,9/06/2018  6:00:00PM,info session #1,,,thurston 205
09/17/2018  5:30:00PM,9/17/2018  6:30:00PM,info session #2,,,tatkon center 3330
09/20/2018  5:00:00PM,9/20/2018  6:00:00PM,info session #3,,,hollister 110
09/27/2018  5:00:00PM,9/27/2018  6:00:00PM,info session #4,,,hollister 110
10/1/2018 11:59:00PM,10/1/2018 11:59:00PM,applications,are due,,online
10/10/2018 12:00:00AM,10/13/2018 11:59:00PM,interviews,,,Hollister Hall
10/15/2018 12:00:00AM,10/15/2018 11:59:00PM,decisions,released,,online
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
